block,total,white-alone,black-alone,native-am-alone,asian-alone,other
3602,1173,1062,22,1,59,4
3602,1260,1149,19,3,55,8
3602,1762,1575,38,0,101,14
3611,1071,1005,3,0,50,3
3611,1476,1390,13,1,52,3
3611,959,926,6,1,16,0
3611,1327,1262,11,1,40,1
3611,824,782,2,1,19,9
3612,2854,2132,449,1,141,91
3612,1035,964,8,0,41,7
3612,1876,1733,22,0,94,4
3613,1135,1021,21,1,56,4
3613,1370,1311,19,2,11,6
3613,1160,994,20,2,101,1
3613,1791,1579,97,4,63,35
3613,790,751,2,0,25,6
3621,2613,2252,14,0,268,10
3621,2239,2078,6,1,113,12
3631,1330,1086,23,1,170,32
3631,2118,1274,20,4,698,78
3631,2461,1689,60,2,620,34
3631,2069,1603,42,0,353,25
3631,1160,970,4,2,165,7
3631,2602,1850,33,1,666,24
3631,883,812,8,0,46,9
3631,1841,1412,23,1,349,11
3631,779,657,2,0,108,5
3632,968,852,2,1,88,6
3632,1388,1095,1,0,264,4
3632,863,742,3,2,103,0
3632,694,605,5,2,78,1
3632,1223,943,9,2,210,20
3632,1545,1363,3,0,149,7
3641,2002,1819,44,6,47,50
3641,1300,1224,31,3,14,12
3641,1964,1837,26,1,62,12
3641,1312,1180,24,3,65,23
3641,1314,1239,18,0,19,23
3641,944,901,13,0,7,6
3641,1270,1165,14,0,61,6
3651,1619,1448,10,0,119,8
3651,2266,2054,15,1,139,5
3651,2331,2096,21,1,170,5
3651,1516,1415,16,0,48,16
3652,1921,1774,13,3,87,6
3652,1275,1152,3,0,84,8
